"Título","Tipo de activo","Suministró los datos","Categoría","Descripción","Etapa de publicación","Municipio","Nombre entidad","Orden","Departamento","Frequencia actualización","Fecha de creación","Fecha de publicación","Fecha última actualización","CALIFICACIÓN FINAL CALIDAD","NIVEL SELLO EXCELENCIA"
"Activos de información","dataset","Alcaldía Municipal de Duitama",,"Activos de información de la Alcadía de Duitama","published","Duitama","Alcaldía de Duitama","Territorial","Boyacá","Semestral","2024 Apr 06 01:53:00 PM","2024 Jun 28 05:36:00 AM","2024 Jun 28 05:29:00 AM","7.73","0"
"Registro de Activos de Información - Metrolinea","dataset","Metrolinea S.A.","Transporte","El Registro de Activos de Información es el inventario de la información pública que el Metrolinea  genera, obtiene, adquiere, transforma o controla, contiene la siguiente información: Categorías o Series de información, Nombre o título de la información, Descripción de la información, 	Idioma, Medio de conservación y/o soporte, Formato	información Disponible e Información Publicada","published","Bucaramanga","Metro Línea S.A.","Territorial","Santander","Trimestral","2020 Sep 10 05:37:00 AM","2020 Sep 10 05:52:00 AM","2020 Sep 10 05:52:00 AM","7.51","0"
"Sitios de interés Bogotá","dataset",,"Comercio, Industria y Turismo","sitios de interés de la ciudad de bogota","published","Bogotá D.C.","Universidad Distrital Francisco José de Caldas","Territorial","Bogotá D.C.","No aplica","2018 Nov 22 05:20:00 PM","2018 Nov 22 05:37:00 PM","2018 Nov 22 05:37:00 PM","7.88","0"
"REPORTE DE AFILIADOS POR ENTIDAD DE SALUD, TIPO REGIMEN, Y SEXO EN EL MUNICIPIO DE IBAGUE.","dataset","Secretaria de Salud Municipal de Ibague","Salud y Protección Social","permite visualizar las cifras de afiliación por tipo de redimen, entidad de salud y por sexo","published","Ibagué","Alcaldía de Ibagué","Territorial","Tolima","Anual","2022 Feb 23 10:48:00 PM","2022 Feb 23 10:55:00 PM","2022 Feb 23 10:55:00 PM","7.9","0"
"Avenida Paralela con 50","dataset","Alcaldía Municipal de Manizales","Transporte",,"published","Manizales","Alcaldía de Manizales","Territorial","Caldas","Anual","2017 Feb 24 04:18:00 PM","2017 Feb 24 04:20:00 PM","2017 Feb 24 04:18:00 PM","6.86","0"
"UCundinamarca- Registro de Activos de la Información- Gestión Bienestar Universitario","dataset",,"Educación","Contiene registro de Activos de Información de la Universidad de Cundinamarca de la Gestión Bienestar Universitario","published","Fusagasugá","Universidad de Cundinamarca","Territorial","Cundinamarca","Anual","2021 Mar 16 05:57:00 PM","2021 Mar 16 06:01:00 PM","2021 Mar 16 06:01:00 PM","6.71","0"
"Grupos asociativos registrados en la UMATA  Municipio de Pasto a  24-10 - 2017","dataset","ALCALDÍA MUNICIPAL DE  PASTO","Función pública","Listado de grupos asociativos registrados en la UMATA de la Secretaria de Agricultura del Municipio de pasto","published","Pasto","Alcaldía de Pasto","Territorial","Nariño","Semestral","2017 Jul 11 07:53:00 PM","2017 Jul 11 08:03:00 PM","2017 Jul 11 07:53:00 PM","6.59","0"
"Conjunto de datos con criterios calidad nuevos","dataset",,,,"published","Bogotá D.C.","Ministerio de Tecnologías de la Información y las Comunicaciones","Nacional","Bogotá D.C.","No aplica","2024 Sep 11 03:51:00 AM","2024 Sep 11 05:08:00 AM","2024 Jul 12 11:19:00 PM","7.64","0"
"Comparendos Embriaguez Municipio de Chía vigencia 2016","dataset","Alcaldía Municipal de Chía","Transporte","Estadísticas de comparendos impuestos por estado de embriaguez en jurisdicción del Municipio de Chía vigencia 2016","published","Chía","Alcaldía de Chía","Territorial","Cundinamarca","No aplica","2017 Jul 31 04:21:00 PM","2017 Jul 31 04:26:00 PM","2017 Jul 31 04:21:00 PM","8.05","0"
"Internet Móvil ingresos por proveedor y terminal.","dataset","Ministerio de Tecnologías de la Información y las Comunicaciones","Ciencia, Tecnología e Innovación","Internet Móvil ingresos por proveedor y terminal.","published","Bogotá D.C.","Ministerio de Tecnologías de la Información y las Comunicaciones","Nacional","Bogotá D.C.","Trimestral","2020 Aug 09 03:03:00 PM","2020 Aug 09 03:05:00 PM","2024 Feb 23 09:33:00 PM","9","1"
"Listado Entidades Sector Solidario OCTUBRE 2017","dataset","Superintendencia de la Economía Solidaria","Hacienda y Crédito Público","Listado de las Entidades vigiladas por la Superintendencia de Economía Solidaria, con información de la fecha del último reporte de estados financieros","published","Bogotá D.C.","Superintendencia de la Economía Solidaria","Nacional","Bogotá D.C.","No aplica","2017 Nov 17 07:19:00 PM","2017 Nov 17 07:24:00 PM","2017 Nov 17 07:19:00 PM","7.69","0"
"EMPRESAS ENCUESTA TIC 2017","dataset","Ministerio de Tecnologías de la Información y las Comunicaciones","Ciencia, Tecnología e Innovación","La Primera Gran Encuesta TIC articula esfuerzos estadísticos históricamente dispersos en diversas investigaciones, esto le permitirá al país contar con un referente unificado de información para los principales indicadores.   sectoriales producidos desde el Ministerio TIC. 
Tiene como objetivo identificar y evaluar los conocimientos, las creencias, los hábitos, los valores, las actitudes, las necesidades, las expectativas y los factores críticos en relación con el acceso, uso y apropiación de TIC por parte de las empresas, el uso de TIC para relacionarse con el Estado, la valoración y confianza respecto al uso de TIC, los motivadores e inhibidores del uso de canales electrónicos para la realización de trámites y acceso a servicios, la percepción sobre cultura de seguridad y de la gestión de TI, y el acceso y oferta de servicios relacionados con la actividad empresarial. Ver en la parte inferior documentos adjuntos y guía para interpretar las preguntas y los datos contenidos por pregunta.","published","Bogotá D.C.","Ministerio de Tecnologías de la Información y las Comunicaciones","Nacional","Bogotá D.C.","No aplica","2017 Sep 01 08:19:00 PM","2017 Sep 01 08:48:00 PM","2017 Sep 01 08:22:00 PM","7.81","0"
"Evaluación de Tierras con fines Agrícolas para el cultivo de Mora (Rubus glaucus), en el departamento de Nariño.","dataset","Unidad de Planificación de Tierras Rurales, Adecuación de Tierras y Usos Agropecuarios","Agricultura y Desarrollo Rural","El mapa es el producto resultante de la validación y aplicaciónde la metodología de Evaluación de Tierras para el departamento de Nariño a escala general 1:100.000, incluyendo los componentes biofísicos, socioeconómicos y socioecosistémicos, en el marco del contrato Interadministrativo No 222 de 2017, suscrito entre la UPRA y la Universidad de Nariño. Se realiza la zonificación para la apuesta productiva de mora. Diciembre 2018.

Aptitud: Áreas con potencial para el establecimiento y desarrollo del cultivo comercial de mora (Rubus glaucus) de variedades volubles o arbustivas, para el mercado nacional y de exportación con fines comerciales, bajo un marco legal, normativo y técnico que las define y diferencia de otros usos posibles.
Categorías:
Aptitud Alta: Zonas con las mejores condiciones desde el punto de vista físico, socioecosistémico y socioeconómico.
Aptitud Media: Zonas con limitaciones moderadas de tipo físico, socioecosistémico y/o socioeconómico.
Aptitud Baja: Zonas con fuertes limitaciones de tipo físico, socioecosistémico y/o socioeconómico, las cuales podrían adecuarse con grandes inversiones y/o el desarrollo de nuevas tecnologías.
No Apta: Zonas con restricciones físicas y socioecosistémicas que imposibilitan el desarrollo de la actividad.
Exclusiones legales: Zonas en las cuales, por mandato legal, no se permite el desarrollo del cultivo comercial de mora.","published","Bogotá D.C.","Unidad de Planificación de Tierras Rurales, Adecuación de Tierras y Usos Agropecuarios","Nacional","Bogotá D.C.","Trienio","2022 Nov 15 05:04:00 PM","2022 Nov 15 05:23:00 PM","2022 Nov 15 05:23:00 PM","9.38","1"
"Estados Financieros de Entidades Solidarias a MARZO de 2013","dataset","Superintendencia de la Economía Solidaria","Hacienda y Crédito Público","Reportes Financieros con corte a 31 de Marzode 2013 de las Entidades del Sector Solidario que hicieron el reporte a esa fecha","published","Bogotá D.C.","Superintendencia de la Economía Solidaria","Nacional","Bogotá D.C.","No aplica","2017 Mar 08 11:45:00 AM","2017 Mar 08 11:47:00 AM","2017 Mar 08 11:45:00 AM","8.36","0"
"Instituciones Educativas de Piojó","dataset","Alcaldía Municipal de Piojó en Atlántico","Educación","Informacion basica de las Instituciones Educativas del municipio de Piojó","published","Piojó","Alcaldía de Piojo","Territorial","Atlántico","Anual","2016 Jul 14 05:38:00 PM","2016 Jul 14 05:39:00 PM","2016 Jul 14 05:39:00 PM","7.72","0"
"SABER3°5°9°_ACC_InformacionComplementaria_2012_ETC_Depto_Mpio","dataset","Instituto Colombiano para la Evaluación de la Educación - ICFES","Educación","Contienen información adicional como códigos de los municipios, departamentos, Entidad Territorial Certificada, etc.","unpublished","Bogotá D.C.","Instituto Colombiano para la Evaluación de la Educación","Nacional","Bogotá D.C.","No aplica","2018 Apr 27 08:37:00 PM",,"2018 Apr 27 08:37:00 PM","7.94","0"
"Matriculados semestre 1 de 2016 - UPTC","dataset","Universidad Pedagógica y Tecnológica de Colombia","Educación","Matriculados 2016","published","Tunja","Universidad Pedagógica y Tecnológica de Colombia","Nacional","Boyacá","Semestral","2016 Jul 14 11:32:00 PM","2017 Mar 08 07:40:00 PM","2017 Mar 08 07:38:00 PM","7.39","0"
"Operaciones Salidas AIM 2020","dataset","OPAM","Transporte","Registro de las operaciones de salidas del año 2020","published","Pereira","Aeropuerto Matecaña","Territorial","Risaralda","Anual","2021 Nov 16 04:47:00 PM","2021 Nov 16 04:53:00 PM","2021 Nov 16 04:53:00 PM","7.09","0"
"Listado de licencias SST personas jurídicas","dataset",,"Salud y Protección Social","Listado de Licencias de Salud y Seguridad en el Trabajo para personas juridicas que expide la UESVALLE","published","Cali","Unidad Ejecutora de Saneamiento del Valle del Cauca","Territorial","Valle del Cauca","Semestral","2020 Oct 21 06:42:00 PM","2020 Oct 30 08:59:00 PM","2024 Nov 09 06:32:00 PM","8.77","1"
"Esquema de publicación de la información","dataset","Notaría Única de Obando","Función pública","Esquema de publicación de la información","published","Obando","Notaría Única de Obando","Territorial","Valle del Cauca","Anual","2024 Aug 01 10:11:00 PM","2024 Aug 12 02:40:00 PM","2024 Aug 12 02:40:00 PM","8.07","0"
"Tasas de interés de captación y operaciones del mercado monetario.","dataset","Superintendencia Financiera de Colombia","Hacienda y Crédito Público","La información contenida en este conjunto tiene como objetivo conocer y divulgar con
mayor oportunidad la estructura temporal de las tasas de interés pasivas en todos los
plazos de captación a través de CDT y de CDAT, así como el volumen total captado por
red de oficinas y por tesorería, la tasa interbancaria para operaciones pasivas y activas, la
tasa de las operaciones repos pasivas y activas, desarrolladas por las entidades vigiladas
a quienes su régimen legal no les prohíba la realización de estas operaciones.","published","Bogotá D.C.","Superintendencia Financiera de Colombia","Nacional","Bogotá D.C.","Diaria","2020 Feb 14 03:26:00 PM","2024 Feb 20 05:16:00 PM","2024 Dec 11 01:26:00 PM","9.3","1"
"Droguerias De Saldaña Tolima","dataset","Alcaldía Municipal de Saldaña Tolima","Salud y Protección Social","Lista y ubicación geografica de las droguerías del municipio de Saldaña","published","Saldaña","Alcaldía de Saldaña","Territorial","Tolima","Anual","2016 Oct 24 07:56:00 PM","2024 Oct 30 05:28:00 PM","2024 Oct 30 05:28:00 PM","8.36","1"
"Indice de informacion clasificada y reservada de la Cámara de Comercio de Valledupar para el Valle del Río Cesar","dataset","Gestión Docuemntal","Comercio, Industria y Turismo","Inventario de la información pública generada, obtenida, adquirida o controlada por la Cámara de Comercio de Valledupar para el Valle del Río Cesar, que ha sido calificada como clasificada o reservada.","published","Valledupar","Cámara de Comercio de Valledupar","Territorial","Cesar","Anual","2024 Jun 28 02:18:00 PM","2024 Jun 28 02:40:00 PM","2024 Jun 28 02:35:00 PM","8.74","1"
"Entidades Acreditadas Abril 2022","dataset","Unidad Administrativa Especial de Organizaciones Solidarias","Educación","Entidades con acreditación para impartir el curso básico de economía solidaria","published","Bogotá D.C.","Unidad Administrativa Especial de Organizaciones Solidarias","Nacional","Bogotá D.C.","Mensual","2022 Jul 31 05:18:00 PM","2022 Jul 31 05:24:00 PM","2022 Jul 31 05:24:00 PM","8.91","0"
"Estados Financieros de Entidades Solidarias a AGOSTO de 2014","dataset","Superintendencia de la Economía Solidaria","Hacienda y Crédito Público","Reportes Financieros con corte a 31 de Agosto de 2014 de las Entidades del Sector Solidario que hicieron el reporte a esa fecha","published","Bogotá D.C.","Superintendencia de la Economía Solidaria","Nacional","Bogotá D.C.","No aplica","2017 Aug 03 01:00:00 PM","2017 Aug 03 01:54:00 PM","2017 Aug 03 01:01:00 PM","8.36","0"
"Empresas de transporte en Facatativá","dataset","Alcaldia Facatativá","Transporte","Conjunto de datos de las  empresas  de transporte ubicadas en el municipio de Facatativá","published","Facatativá","Alcaldía de Facatativá","Territorial","Cundinamarca","Anual","2017 Dec 09 08:55:00 PM","2017 Dec 09 09:47:00 PM","2017 Dec 09 08:55:00 PM","7.83","0"
"Resolución 1552 Año 2013 Vigencia 2020","dataset",,,"Resolución 1552 Año 2013 Vigencia 2020","published","Garzón","Hospital Departamental San Vicente de Paul de Garzón","Territorial","Huila","Trimestral","2021 Jun 24 10:18:00 PM","2021 Jun 24 10:20:00 PM","2021 Jun 24 10:20:00 PM","6.82","0"
"Índice de Información Clasificada y Reservada","dataset","Notaría Única de Bahía Solano - Chocó","Función pública","Corresponde al inventario de la información pública generada, obtenida, adquirida o controlada por la notaría en calidad de sujeto obligado, que ha sido calificada como clasificada o reservada, de acuerdo con lo dispuesto en la Ley 1712 de 2014, el Decreto 103 de 2015, art. 39 y demás normas concordantes.","published","Bahía Solano","Notaría Única de Bahía Solano","Territorial","Chocó","No aplica","2024 Aug 14 07:23:00 PM","2024 Aug 14 07:25:00 PM","2024 Aug 14 07:25:00 PM","8.01","0"
"Datos de calidad del aire en la estación Pance 2013 a 2018 en Santiago de Cali","dataset","Alcaldía Municipal de Santiago de Cali","Ambiente y Desarrollo Sostenible","La estación Pance ubicada al sur de la ciudad en la zona rural, es una estación automática que reporta información horaria al centro de control del DAGMA. Mide contaminantes como el Material Particulado Menor a 10 micrometros (PM10), el Ozono (O3) y variables meteorológicas como velocidad del viento, dirección del viento, temperatura, humedad, radiación solar y precipitación.

El DAGMA mediante el grupo de calidad del aire en el transcurso de los años ha trabajado en robustecer el sistema de calidad del aire para garantizar la continuidad en los datos, sin embargo es normal que los sistemas de monitoreo de calidad del aire presenten discontinuidad en los datos (datos faltantes o espacios en blanco) debido a dos situaciones: la primera corresponde a las anomalías que se dan en las estaciones de monitoreo, tales como: Fallas en los equipos, falta de energía eléctrica en la zona, hurto de equipos o cableado, mantenimiento o cambio de equipos, etc y la segunda causa corresponde a la inclusión o exclusión de algunos contaminantes o variables meteorológicas, según criterio de los expertos y característica de la zona a monitorear.

Para conocer más sobre la temática, se invita a la comunidad interesada a consultar los boletines de calidad del aire, los cuales se encuentran cargados en el portal del DAGMA, sección grupo de Calidad del Aire: http://www.cali.gov.co/dagma/publicaciones/sistema_de_vigilancia_de_calidad_del_aire_de_cali_svcac_pub","published","Cali","Alcaldía de Santiago de Cali","Territorial","Valle del Cauca","Anual","2016 Nov 28 09:26:00 PM","2019 Jul 03 10:58:00 PM","2019 Jul 03 10:58:00 PM","7.25","0"
"Ciencias Grado9 2009 Depto","dataset","Instituto Colombiano para la Evaluación de la Educación ICFES","Educación","datos saber359 ciencias 2009 por departamento","published","Bogotá D.C.","Instituto Colombiano para la Evaluación de la Educación","Nacional","Bogotá D.C.","No aplica","2017 Oct 24 02:46:00 PM","2017 Oct 24 02:48:00 PM","2017 Oct 24 02:46:00 PM","7.9","0"
"Registro de Activos de Información","dataset","Notaría Única de Ansermanuevo - Valle","Función pública","Corresponde al inventario de la información pública que la notaría como sujeto obligado genere, obtenga, adquiera, transforme o controle en su calidad de tal, de acuerdo con lo dispuesto en la Ley 1712 de 2014, Decreto 103 de 2015, art. 37 y demás normas concordantes.","published","Ansermanuevo","Notaría Única de Ansermanuevo","Territorial","Valle del Cauca","No aplica","2024 Aug 28 02:42:00 PM","2024 Aug 28 02:49:00 PM","2024 Aug 28 02:49:00 PM","8.57","1"
"Activos de la Información Encino 2024","dataset","Alcaldia Municipal de Encino","Función pública","Activos de la Información Encino 2024","published","Encino","Alcaldía de Encino","Territorial","Santander","Anual","2024 Aug 03 04:11:00 AM","2024 Aug 03 04:17:00 AM","2024 Aug 03 04:17:00 AM","8.02","0"
"Estadística Movilidad y convivencia Ciudadana, Primer Semestre 2016 (Cáchira, Norte de Santander)","dataset","Inspección de Policía Urbana","Función pública","En este conjunto de datos, se presentan los sucesos relacionados con accidentes de transito y hechos violentos ocurridos en el Municipio de Cáchira, Norte de Santander en el primer semestre del año 2016.","published","Cáchira","Alcaldía de Cáchira","Territorial","Norte de Santander","Semestral","2016 Dec 13 05:08:00 PM","2016 Dec 13 05:15:00 PM","2017 Jul 26 07:38:00 PM","7.56","0"
"Esquema De Publicación web Alcaldía  de Itagüí 2017","dataset","Alcaldía de Itagüí","Función pública","Dando cumplimiento a lo establecido en la ley 1712 de 2014 y el Decreto 103 de 2015 se construye este documento donde se contiene toda la información publica y disponible en el sitio web institucional.","published","Itagüí","Alcaldía de Itagüí","Territorial","Antioquia","Anual","2017 Jun 23 01:39:00 PM","2017 Jun 23 01:59:00 PM","2017 Jun 23 01:39:00 PM","8.14","0"
"Evaluación de Tierras para el cultivo comercial de ahuyama (Cucurbita máxima), en el departamento de La Guajira.","dataset","Unidad de Planificación Rural Agropecuaria - UPRA","Agricultura y Desarrollo Rural","El mapa de la evaluación de tierras para el cultivo comercial de ahuyama (Cucurbita máxima), es un instrumento de planificación para las áreas rurales que facilita la identificación de áreas geográficas con una combinación de características físicas, biológicas, humanas e institucionales aptas para un uso determinado, que pueden ser interpretadas en términos de objetivos para la gestión de los territorios. Aplicar la metodología de evaluación de tierras con fines agropecuarios a escala 1:100.000 en el departamento de la Guajira, significa contar con mapas de aptitud como herramientas que permiten identificar posibles núcleos de desarrollo, orientar políticas del sector agropecuario y de la planificación rural del departamento.

Aptitud: Áreas con potencial para el establecimiento y desarrollo del cultivo comercial de la producción de ahuyama (Cucurbita máxima), bajo un marco legal, normativo y técnico que las define y diferencia de otros usos posibles.

Categorías:
Aptitud Alta: Zonas con las mejores condiciones desde el punto de vista físico, socioecosistémico y socioeconómico.
Aptitud Media: Zonas con limitaciones moderadas de tipo físico, socioecosistémico y/o socioeconómico.
Aptitud Baja: Zonas con fuertes limitaciones de tipo físico, socioecosistémico y/o socioeconómico, las cuales podrían adecuarse con grandes inversiones y/o el desarrollo de nuevas tecnologías.
No apta: Zonas con restricciones físicas y socioecosistémicas que imposibilitan el desarrollo de la actividad.
Exclusión legal: Zonas en las cuales, por mandato legal, no se permite el desarrollo de la producción de ahuyama (Cucurbita máxima).","published","Bogotá D.C.","Unidad de Planificación de Tierras Rurales, Adecuación de Tierras y Usos Agropecuarios","Nacional","Bogotá D.C.","Trienio","2022 Jun 10 04:12:00 PM","2022 Jun 10 04:30:00 PM","2022 Jun 10 04:30:00 PM","9.66","1"
"MORBILIDAD HOSPITAL ERASMO MEOZ 2018-2023","dataset","HOSPITAL UNIVESITARIO ERAMOS MEOZ","Salud y Protección Social","MORBILIDAD HISTORICO DEL HOSPITAL ERASMO MEOZ DE LOS AÑOS 2018-2023","published","Cúcuta","Hospital Erasmo Meoz","Territorial","Norte de Santander","Anual","2024 Apr 23 08:07:00 PM","2024 Apr 23 09:17:00 PM","2024 Apr 23 09:17:00 PM","9.16","1"
"Esquema de Publicación de Información","dataset","Notaría Única de Carolina - Antioquia","Función pública","Es el instrumento del que disponen los sujetos obligados para informar, de forma ordenada, a la ciudadanía, interesados y usuarios, sobre la información publicada y que publicará, conforme al principio de divulgación proactiva de la información previsto en el artículo 3° de la Ley 1712 de 2014, y sobre los medios a través de los cuales se puede acceder a la misma.
(Decreto 103 de 2015, art. 41)","published","Carolina","Notaría única de Carolina","Territorial","Antioquia","No aplica","2024 Sep 08 09:50:00 PM","2024 Sep 08 10:20:00 PM","2024 Sep 08 10:20:00 PM","7.74","0"
"Población beneficiada en escuelas de formación del Municipio de Los Patios, Norte de Santander","dataset","Secretaria de Cultura","Cultura","Alumnos desde la categoría de infancia hasta la tercera edad atendidos en las diferentes escuelas de formación cultural que ofrece el Municipio de Los Patios a través de la secretaria de Cultura","published","Los Patios","Alcaldía de Los Patios","Territorial","Norte de Santander","Trimestral","2023 Apr 09 09:31:00 PM","2023 Apr 09 09:42:00 PM","2023 Apr 09 09:42:00 PM","8.4","1"
"Equipo de Bomberos Quimbaya","dataset","Alcaldía Municipal de Quimbaya en Quindío","Trabajo","Este set de datos contiene información sobre los elementos con los que trabajan los bomberos y como es el estado.","published","Quimbaya","Alcaldía de Quimbaya","Territorial","Quindío","Mensual","2016 Jul 14 06:08:00 PM","2016 Dec 16 01:55:00 AM","2016 Dec 16 01:53:00 AM","7.75","0"
"Esquema de Publicación AAA. La Bellezana","dataset","ADMINISTRACIÓN PÚBLICA COOPERATIVA AAA LA BELLEZANA","Participación ciudadana","El presente Conjunto de Datos, cuenta con el esquema de publicación de la Administración Pública Cooperativa AAA. La Bellezana, dentro del sitio web.
Es el instrumento del que disponen los sujetos obligados para informar, de forma ordenada, a la ciudadanía, interesados y usuarios, sobre la información publicada y que publicará, conforme al principio de divulgación proactiva de la información previsto en el artículo 3° de la Ley 1712 de 2014, y sobre los medios a través de los cuales se puede acceder a la misma","published","La Belleza","Administración Pública Cooperativa a la Belleza","Territorial","Santander","Trimestral","2023 Dec 14 07:27:00 PM","2023 Dec 14 08:22:00 PM","2023 Dec 14 08:22:00 PM","9.13","1"
"Tablas_de_Retención_Documental_Notaría Única del Círculo Paz de Ariporo","dataset","Notaría Única del Círculo Paz de Ariporo","Función pública",,"published","Paz de Aripo","Notaría Única del Círculo de Paz de Ariporo","Territorial","Casanare","Anual","2022 Sep 21 02:49:00 PM","2022 Sep 21 02:51:00 PM","2022 Sep 21 02:51:00 PM","7.55","0"
"Estado De Actividad Financiera, Económica, Social Y Ambiental Municipio de Inzá Cauca Vigencia 2016","dataset","Alcaldía de Inzá Cauca","Economía y Finanzas","A continuación se muestra el Estado De Actividad Financiera, Económica, Social Y Ambiental correspondiente al Municipio de Inzá Cauca, para la vigencia 2016","published","Inzá","Alcaldía de Inzá","Territorial","Cauca","Anual","2019 Dec 13 08:51:00 PM","2019 Dec 13 09:02:00 PM","2019 Dec 13 09:02:00 PM","8.09","0"
"BASE DE DATOS PYMES","dataset","CAMARA DE COMERCIO DEL MAGDALENA MEDIO Y NORDESTE ANTIOQUEÑO","Comercio, Industria y Turismo","Base de datos de Pymes en Colombia, registradas y/o renovadas en la ultima decada en la Cámara de Comercio del Magdalena Medio y Nordeste Antioqueño.","published","Puerto Berrío","Cámara de Comercio del Magdalena Medio","Territorial","Antioquia","Diaria","2022 Sep 14 01:14:00 PM","2022 Sep 14 02:51:00 PM","2022 Sep 14 02:50:00 PM","9.13","1"
"Muertes violentas según sexo. Colombia, comparativo 2018 y 2019 (enero-diciembre)","dataset","Instituto Nacional de Medicina Legal y Ciencias Forenses","Justicia y Derecho","Muertes violentas según sexo. Colombia: comparativo 2018 y 2019 (enero-diciembre)","published","Bogotá D.C.","Instituto Nacional de Medicina Legal y Ciencias Forenses","Nacional","Bogotá D.C.","No aplica","2020 Jan 27 09:34:00 PM","2020 Jan 27 09:38:00 PM","2020 Jan 27 09:38:00 PM","8.26","0"
"Ofertas Académicas Educación Continua 2018","dataset","Instituto Caro y Cuervo","Educación","Este conjunto de datos presenta la oferta académica del Instituto Caro y Cuervo, de los programas de Académicos de Educación Continua 2018 que se ofrecen y ofertan.","published","Bogotá D.C.","Instituto Caro y Cuervo","Nacional","Bogotá D.C.","Anual","2018 May 04 05:06:00 PM","2018 May 04 05:14:00 PM","2018 May 04 05:06:00 PM","7.73","0"
"Estudiantes admitidos programas de pregrado y posgrado Universidad de Sucre","dataset","Universidad de Sucre","Educación","Listado de estudiantes admitidos a los diferentes programas de pregrado y posgrado de la Universidad de Sucre","published","Sincelejo","Universidad de Sucre","Territorial","Sucre","Semestral","2021 Feb 06 02:01:00 PM","2021 Feb 06 03:39:00 PM","2024 Oct 31 10:03:00 PM","9.1","1"
"Presupuesto Contraloria Municipal De Pasto 2016","dataset","Contraloria Municipal De Pasto","Organismos de Control","Contraloria Municipal De Pasto","published","Pasto","Contraloría Municipal de Pasto","Territorial","Nariño","Semestral","2017 Dec 05 07:24:00 PM","2017 May 16 10:52:00 PM","2017 May 16 10:51:00 PM","7.88","0"
"Juntas de acción comunal de Cundinamarca","dataset","Idaco","Participación ciudadana","nombres de las juntas de accion comunal de  cundinamarca","published","Bogotá D.C.","Instituto Departamental de Acción Comunal y Participación Ciudadana","Territorial","Bogotá D.C.","Mensual","2020 May 10 04:44:00 PM","2020 May 10 05:06:00 PM","2020 May 10 05:06:00 PM","8.02","0"
"Vía Panamericana  Los Cedros","dataset","Alcaldía Municipal de Manizales","Transporte",,"published","Manizales","Alcaldía de Manizales","Territorial","Caldas","Anual","2017 Feb 24 04:02:00 PM","2017 Feb 24 04:04:00 PM","2017 Feb 24 04:02:00 PM","7.27","0"
"Registro de Activos de Información Personería de Envigado","dataset","PERSONERIA DE ENVIGADO","Organismos de Control","Registro de Activos de Información de acuerdo a la ley 1712 de 2014 y en cumplimiento del Decreto 103 de 2015, Artículo 37: ""Concepto del Registro de Activos de Información. El Registro de Activos de Información es el inventario de la información pública que el sujeto obligado genere, obtenga, adquiera, transforme o controle en su calidad de tal"". El registro de activos incluye únicamente aquella información que ha sido clasificada como ""Pública"".","published","Envigado","Personería de Envigado","Territorial","Antioquia","Anual","2022 Jan 07 07:24:00 PM","2023 Sep 22 02:28:00 PM","2022 Jan 07 07:38:00 PM","8.51","0"
"REGISTRO DE ACTIVOS DE LA INFORMACIÓN","dataset","Cámara de Comercio de Cartagena","Comercio, Industria y Turismo",,"published","Cartagena de Indias","Cámara de Comercio de Cartagena","Territorial","Bolívar","Anual","2021 Jan 29 05:15:00 PM","2021 Jan 29 05:19:00 PM","2021 Jan 29 05:19:00 PM","6.82","0"
"CONTRATACIÓN VIGENCIA 2022 ALCALDIA DE TOLEDO-ANTIOQUIA","dataset","ALCALDIA DE TOLEDO-ANTIOQUIA","Función pública","CONTRATACIÓN VIGENCIA 2022 ALCALDIA DE TOLEDO-ANTIOQUIA","published","Toledo","Alcaldía de Toledo","Territorial","Antioquia","Anual","2023 May 29 09:50:00 PM","2023 Jun 07 03:19:00 PM","2023 Jun 07 03:19:00 PM","3.48","0"
"ZONIFICACIÓN USUARIOS POR CENTRO DE SALUD INSTITUTO DE SALUD DE BUCARAMANGA","dataset","Subcientifica","Salud y Protección Social","La ESE tiene asignada una población aproximada de 143,000 usuarios afiliados en 22 centros de saluda, pertenecientes al régimen subsidiado del municipio de Bucaramanga, se tiene como objetivo atender a la población mencionada garantizando accesibilidad y buscando la eficiencia en la utilización de su capacidad instalada, organizo la atención de la mencionada población zonificándola de acuerdo a su dirección, barrio y comuna de residencia. 

Es así como en esta herramienta se puede identificar por centro de salud la población por edad, genero, ciclo de vida, EPS.","published","Bucaramanga","Empresa Social del Estado Instituto de Salud de Bucaramanga - ISABU","Territorial","Santander","No aplica","2021 Jun 30 05:30:00 PM","2021 Jun 30 06:50:00 PM","2024 Nov 13 03:43:00 PM","8.77","0"
"Informacion Clasificada y Reservada INS 2022","dataset","Instituto nacional de salud","Salud y Protección Social",,"published","Bogotá D.C.","Instituto Nacional de Salud","Nacional","Bogotá D.C.","Anual","2022 Sep 16 01:50:00 PM","2022 Sep 22 10:28:00 PM","2022 Sep 22 10:28:00 PM","7.86","0"
"Mapa de accidentalidad Cartago 2018 - Condición Muerto","dataset","Municipio de Cartago","Transporte","Accidentes durante el período 2018-01-01 a 2018-11-16","published","Cartago","Alcaldía de Cartago","Territorial","Valle del Cauca","No aplica","2018 Nov 21 04:13:00 PM","2018 Nov 21 04:15:00 PM","2018 Nov 21 04:13:00 PM","6.95","0"
